NeTEx Id;GlobalID;MetaID;Name;Steward;Destination Systems;Crossborder;long;lat;Main Mode;epPrio;CheckIn;Checkout;VAORemarks;(ARIA only) Name as found in time tables;(ARIA only) ARIA Name;(ARIA only) ARIA Remarks;(ARIA only) Answers / remarks SBB;ARIA id;Meta stop to bridge systems?;STA Relevant?;STA Id;STA Remarks;ARIA Relevant?;ARIA Id;ARIA Remarks;5T Relevant?;5T  Id;5T Remarks;LUK Relevant?;LUK Id;LUK Remarks;SBB Relevant;SBB Id;DiDok-ID;LUR Id;VAO Id (HAFAS ID);VAO Relevant?;(EU Spirit only) Additional EPs;Main Operator;Country;Remark;TODO;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64783:;85801597;at:47:64783;Fliess, Abzw. Eichholz;VAO;SBB,VAO;;10.5856305;47.1260135;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80159;85801597;;476478300;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64784:;85801589;at:47:64784;Fliess, Urgen;VAO;SBB,VAO;;10.6054384;47.1189476;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80158;85801589;;476478400;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64785:;85801571;at:47:64785;Fliess, Nesselgarten;VAO;SBB,VAO;;10.6167302;47.1168264;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80157;85801571;;476478500;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64786:;85801563;at:47:64786;Fliess, Neuer Zoll;VAO;SBB,VAO;;10.634948;47.1146073;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80156;85801563;;476478600;x;;;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64787:;85801555;at:47:64787;Prutz, Untergufer;VAO;SBB,VAO;;10.6668562;47.0942949;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80155;85801555;;476478700;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64788:;85801548;at:47:64788;Prutz, Postamt;VAO;SBB,VAO;;10.6616460;47.0769358;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80154;85801548;;476478800;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64789:;85817528;at:47:64789;Prutz, Schwimmbad;VAO;SBB,VAO;;10.663784;47.0674219;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:81752;85817528;;476478900;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64790:;85801670;at:47:64790;Ried im Oberinntal,Gemeindeamt;VAO;SBB,VAO;;10.6527347;47.0537203;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80167;85801670;;476479000;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64791:;85801688;at:47:64791;Ried im Oberinntal, Trujen;VAO;SBB,VAO;;10.6473717;47.0497113;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80168;85801688;;476479100;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
at:vvt:StopPlace:at-47-64792:;85801696;at:47:64792;Ried im Oberinntal, St.Christina;VAO;SBB,VAO;;10.6364303;47.0405416;~Bus~;;0;0;Steward SBB? Answer SBB: operated by ÖBB Postbus, thus steward VAO?;;;;;;;;;;;;;;;;;;;x;ch:1:sloid:80169;85801696;;476479200;x;;Verkehrsverbund Tirol GesmbH;A;;;;;;;;;;;;;;;
